Nome da Empresa	Valor total adquirido	Valor Empenhado
F C Nicolau Equipamentos para Laboratório Ltda – ME	R$5.908,00	R$ -
AUTOMX SOLUCOES LTDA	R$0,00	R$ -
ACARVE COMERCIO E LICITAÇÕES LTDA	R$9.795,90	R$4.796,00
ACARVE COMERCIO E LICITAÇÕES LTDA	R$9.795,90	R$4.999,90
Quartz Indústria e Comércio de Equipamentos Para Laboratório LTDA EPP	R$2.920,89	R$2.920,89
Quartz Indústria e Comércio de Equipamentos Para Laboratório LTDA EPP	R$2.920,89	R$ -
Mundial Científica Ltda	R$13.500,00	R$13.500,00
Mundial Científica Ltda	R$13.500,00	R$ -
MAX QUALITY COMÉRCIO LTDA	R$0,00	R$ -
Betaquimica Equipamentos para Laboratório LTDA	R$41.561,02	R$27.963,00
Betaquimica Equipamentos para Laboratório LTDA	R$41.561,02	R$5.614,68
Betaquimica Equipamentos para Laboratório LTDA	R$41.561,02	R$1.009,34
Betaquimica Equipamentos para Laboratório LTDA	R$41.561,02	R$6.974,00
MELI SHOP LTDA	R$3.000,00	R$3.000,00
MELI SHOP LTDA	R$3.000,00	R$ -
VINCITA - Comércio de Implementos Agrícolas LTDA - EPP	R$17.000,00	R$17.000,00
VINCITA - Comércio de Implementos Agrícolas LTDA - EPP	R$17.000,00	R$ -
Nova Mix Ltda	R$13.987,32	R$13.987,32
Nova Mix Ltda	R$13.987,32	R$ -
PIRES & SANTOS COMERCIO LTDA	R$10.036,00	R$10.036,00
PIRES & SANTOS COMERCIO LTDA	R$10.036,00	R$ -
Marte Equipamentos para Laboratório LTDA	R$15.888,20	R$15.888,20
Marte Equipamentos para Laboratório LTDA	R$15.888,20	R$ -
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$24.428,00
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$16.480,00
SOS GÁS LTDA.	R$0,00	R$ -
J & L – PROMOÇÃO DE VENDAS EM INFORMÁTICA LTDA.	R$5.040,00	R$5.040,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$63.000,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$67.500,00
VENDGO LTDA.	R$0,00	R$ -
J A F DORNELLES FILHO COMÉRCIO DE INFORMÁTICA	R$0,00	R$34.600,00
LUGATH COMÉRCIO LTDA.	R$0,00	R$ -
R. JUAREZ DE ALMEIDA	R$1.500,00	R$1.500,00
M. A. DISTRIBUIDORA COMÉRCIO E SERVIÇO LTDA.	R$71.383,00	R$71.383,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ -
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$13.920,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$3.950,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$1.776,00
LRF DISTRIBUIDORA LTDA.	R$0,00	R$ -
FLEXIBASE INDUSTRIA E COMERCIO DE MOVEIS, IMPORTACAO E EXPORTACAO LTDA	R$0,00	R$ -
ADVANCED COMERCIO DE EQUIPAMENTOS LTDA	R$0,00	R$ -
X-OFFICE SERVI LTDA-ME	R$0,00	R$ -
PRENSAR MOVEIS LTDA EPP	R$16.500,00	R$16.500,00
A.N.D CAPELLI LTDA	R$0,00	R$ -
A.N.D CAPELLI LTDA	R$0,00	R$26.880,00
A.N.D CAPELLI LTDA	R$0,00	R$17.850,00
A.N.D CAPELLI LTDA	R$0,00	R$7.488,00
MA COMERCIO DE REFRIGERACAO LTDA	R$0,00	R$ -
Vale Comercio de Materiais Ltda	R$0,00	R$ -
SORELLE COMERCIO DE ELETROS E EQUIPAMENTOS LTDA	R$0,00	R$ -
XD CONSTRUCOES LTDA	R$0,00	R$ -
DISTRIBUIDORA PHG LTDA.	R$0,00	R$ -
SUL AGUA EQUIPAMENTOS LTDA	R$0,00	R$ -
REPREMIG – REPRESENTAÇÃO E COMÉRCIO DE MINAS GERAIS LTDA	R$0,00	R$ -
BT COMÉRCIO INTELIGENTE LTDA	R$0,00	R$ -
CITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA	R$0,00	R$ -
Shine Soluções	R$0,00	R$ -
ELITE TECH SUPRIMENTOS LTDA	R$0,00	R$ -
JP Comércio e Serviços	R$0,00	R$ -
ALL IN-SOLUCOES TECNOLOGICAS	R$0,00	R$ -
PLUGNET COMÉRCIO E REPRESENTAÇÕES LTDA.	R$0,00	R$ -
ARKHAGGELOS COMERCIO LTDA	R$0,00	R$ -
Produtos Salinas LTDA	R$0,00	R$ -
PREMIER COMERCIO LTDA	R$481.800,00	R$ 481.800,00
SERGIO DOMINGUES & CIA LTDA	R$189.132,00	R$ 189.132,00
OLIVEIRA & ALMEIDA INFORMÁTICA	R$2.852,00	R$ 2.220,00
REI TECH EIRELI	R$32.219,00	R$ 32.219,00
DF MÁQUINAS E FERRAMENTAS LTDA	R$809,40	R$ 809,40
J&A SOLUÇÕES E-COMMERCE LTDA	R$2.887,50	R$ 2.887,50
JEAN ALEXANDRE WENDLER DE MORAIS	R$548,00	R$ 548,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ -
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 3.920,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 4.400,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 6.000,00
BACKUP MANUTENÇÃO E DISTRIBUICAO DE PRODUTOS DE INFORMATICA LTDA	R$0,00	R$ 300,00
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 6.999,90
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 4.769,10
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 2.369,70
AR6 LICITAÇÕES LTDA	R$23.241,40	R$ 23.241,40
AR6 LICITAÇÕES LTDA	R$23.241,40	R$ -
ADRIANO HALAMA	R$670,00	R$ 670,00
ADRIANO HALAMA	R$670,00	R$ -
NOVA ERA TECNOLOGIA LTDA	R$14.460,00	R$ -
NOVA ERA TECNOLOGIA LTDA	R$14.460,00	R$ 14.460,00
BILACORP Viagens e Turismo LTDA	R$181.715,84	R$ 292.998,45
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 1.089,60
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 956,16
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 1.068,00
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 854,40
MÁRCIO SANDRO MALLET PEZARIM	R$0,00	R$ -
HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	R$2.399,20	R$ -
HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	R$2.399,20	R$ 1.199,60
MULTIMÍDIA IMPRESSÃO E COMÉRCIO DE MATERIAL PUBLICITÁRIO LTDA.	R$1.700,00	R$ 1.700,00
SUNSHINE ARTES LTDA	R$9.890,00	R$ 9.890,00
JOELSON DA SILVA GONÇALVES	R$14.790,00	R$ 14.790,00
LUXPLACAS INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA.	R$0,00	R$ 2.562,08
MEL DISTRIBUIDORA LTDA.	R$0,00	R$ -
PACIFIC FLOWERS INDUSTRIA E COMERCIO LTDA	R$0,00	R$ -
JRB COMERCIO, LOCACOES E SERVICOS DE IMPRESSAO LTDA	R$0,00	R$ -
RC RAMOS COMERCIO LTDA	R$11.345,00	R$ 11.345,00
GRAFICA BORGES DE CAMPO GRANDE LTDA	R$0,00	R$ 2.280,00
GRAFICA BORGES DE CAMPO GRANDE LTDA	R$0,00	R$ 4.500,00
RUBENS DANTAS NETO	R$9.600,00	R$ 40.000,00
RUBENS DANTAS NETO	R$9.600,00	R$ 77.500,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 17.370,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 16.360,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 10.292,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 3.659,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 5.920,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ -
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 8.870,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 6.507,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 21.740,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 3.526,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 11.000,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 7.650,00
IMPRESSOART EDITORA GRAFICA LTDA	R$0,00	R$ -
MULTFLUXO COMERCIO DE MATERIAIS ISOLAMENTOS LTDA	R$6.410,00	R$ 6.410,00
ERIKA BARBERINO MARTINS BORGES	R$0,00	R$ -
RB FLEXO LTDA	R$0,00	R$ -
EDIR SUSSEL & CIA LTDA	R$0,00	R$ -
PRATICA EDITORA GRAFICA LTDA	R$0,00	R$ -
ISALTEC COMERCIO DE INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 2.299,98
ISALTEC COMERCIO DE INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 419,49
ISALTEC COMERCIO E INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 718,00
MAXXI LAGO COMERCIAL E SERVICOS LTDA	R$0,00	R$ -
CLAVES E NOTAS COMERCIO DE INSTRUMENTOS MUSICAIS LTDA	R$880,00	R$ 880,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 1.980,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 229,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 1.960,00
TRC COMERCIO E SERVICOS LTDA	R$22.190,00	R$ 22.190,00
G2B COMERCIO E REPRESENTACOES LTDA	R$0,00	R$ -
HS-CPQ TECNOLOGIA LTDA	R$677,00	R$ 677,00
EDELSON MILTON DE SOUZA	R$0,00	R$ -
ELETROQUIP COMÉRCIO E LICITAÇÕES LTDA	R$0,00	R$ -
EMGESA - EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES	R$0,00	R$ -
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA	R$0,00	R$ -
INFRAEASY SOLUÇÕES LTDA	R$0,00	R$ -
RAUL MUELLER SCHRAMM	R$0,00	R$ -
VALNEIDES ARAUJO DA COSTA	R$0,00	R$ -
ALEXANDRE LAURENTINO DA SILVA LTDA.	R$13.160,00	R$ 11.280,00
ALEXANDRE LAURENTINO DA SILVA LTDA.	R$13.160,00	R$ 1.880,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 57.600,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 12.900,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 11.900,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 5.950,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 34.500,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 4.878,30
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 1.543,83
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.200,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 5.200,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 7.000,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 5.300,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.400,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 9.600,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.800,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 8.200,00
MEL DISTRIBUIDORA LTDA.	R$76.284,00	R$ 96.626,40
FORLIMP COMÉRCIO E DISTRIBUIÇÃO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$0,00	R$ -
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$ 24.428,00
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$ 16.480,00
SOS GÁS LTDA.	R$0,00	R$ -
J & L – PROMOÇÃO DE VENDAS EM INFORMÁTICA LTDA.	R$5.040,00	R$ 5.040,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$ 63.000,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$ 67.500,00
VENDGO LTDA.	R$0,00	R$ -
J A F DORNELLES FILHO COMÉRCIO DE INFORMÁTICA	R$0,00	R$ 34.600,00
LUGATH COMÉRCIO LTDA.	R$0,00	R$ -
R. JUAREZ DE ALMEIDA	R$1.500,00	R$ 1.500,00
M. A. DISTRIBUIDORA COMÉRCIO E SERVIÇO LTDA.	R$71.383,00	R$ 71.383,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ -
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 13.920,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 3.950,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 1.776,00
LRF DISTRIBUIDORA LTDA.	R$0,00	R$ -
FLEXIBASE INDUSTRIA E COMERCIO DE MOVEIS, IMPORTACAO E EXPORTACAO LTDA	R$0,00	R$ -
ADVANCED COMERCIO DE EQUIPAMENTOS LTDA	R$0,00	R$ -
X-OFFICE SERVI LTDA-ME	R$0,00	R$ -
PRENSAR MOVEIS LTDA EPP	R$16.500,00	R$ 16.500,00
A.N.D CAPELLI LTDA	R$0,00	R$ -
A.N.D CAPELLI LTDA	R$0,00	R$ 26.880,00
A.N.D CAPELLI LTDA	R$0,00	R$ 17.850,00
A.N.D CAPELLI LTDA	R$0,00	R$ 7.488,00
MA COMERCIO DE REFRIGERACAO LTDA	R$0,00	R$ -
Vale Comercio de Materiais Ltda	R$0,00	R$ -
SORELLE COMERCIO DE ELETROS E EQUIPAMENTOS LTDA	R$0,00	R$ -
XD CONSTRUCOES LTDA	R$0,00	R$ -
DISTRIBUIDORA PHG LTDA.	R$0,00	R$ -
SUL AGUA EQUIPAMENTOS LTDA	R$0,00	R$ -
REPREMIG – REPRESENTAÇÃO E COMÉRCIO DE MINAS GERAIS LTDA	R$0,00	R$ -
BT COMÉRCIO INTELIGENTE LTDA	R$0,00	R$ -
CITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA	R$0,00	R$ -
Shine Soluções	R$0,00	R$ -
ELITE TECH SUPRIMENTOS LTDA	R$0,00	R$ -
JP Comércio e Serviços	R$0,00	R$ -
ALL IN-SOLUCOES TECNOLOGICAS	R$0,00	R$ -
PLUGNET COMÉRCIO E REPRESENTAÇÕES LTDA.	R$0,00	R$ -
ARKHAGGELOS COMERCIO LTDA	R$0,00	R$ -
Produtos Salinas LTDA	R$0,00	R$ -
PREMIER COMERCIO LTDA	R$481.800,00	R$ 481.800,00
SERGIO DOMINGUES & CIA LTDA	R$189.132,00	R$ 189.132,00
OLIVEIRA & ALMEIDA INFORMÁTICA	R$2.852,00	R$ 2.220,00
REI TECH EIRELI	R$32.219,00	R$ 32.219,00
DF MÁQUINAS E FERRAMENTAS LTDA	R$809,40	R$ 809,40
J&A SOLUÇÕES E-COMMERCE LTDA	R$2.887,50	R$ 2.887,50
JEAN ALEXANDRE WENDLER DE MORAIS	R$548,00	R$ 548,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ -
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 3.920,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 4.400,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	R$14.320,00	R$ 6.000,00
BACKUP MANUTENÇÃO E DISTRIBUICAO DE PRODUTOS DE INFORMATICA LTDA	R$0,00	R$ 300,00
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 6.999,90
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 4.769,10
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	R$14.138,70	R$ 2.369,70
AR6 LICITAÇÕES LTDA	R$23.241,40	R$ 23.241,40
AR6 LICITAÇÕES LTDA	R$23.241,40	R$ -
ADRIANO HALAMA	R$670,00	R$ 670,00
ADRIANO HALAMA	R$670,00	R$ -
NOVA ERA TECNOLOGIA LTDA	R$14.460,00	R$ -
NOVA ERA TECNOLOGIA LTDA	R$14.460,00	R$ 14.460,00
BILACORP Viagens e Turismo LTDA	R$181.715,84	R$ 292.998,45
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 1.089,60
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 956,16
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 1.068,00
SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	R$4.822,56	R$ 854,40
MÁRCIO SANDRO MALLET PEZARIM	R$0,00	R$ -
HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	R$2.399,20	R$ -
HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	R$2.399,20	R$ 1.199,60
MULTIMÍDIA IMPRESSÃO E COMÉRCIO DE MATERIAL PUBLICITÁRIO LTDA.	R$1.700,00	R$ 1.700,00
SUNSHINE ARTES LTDA	R$9.890,00	R$ 9.890,00
JOELSON DA SILVA GONÇALVES	R$14.790,00	R$ 14.790,00
LUXPLACAS INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA.	R$0,00	R$ 2.562,08
MEL DISTRIBUIDORA LTDA.	R$0,00	R$ -
PACIFIC FLOWERS INDUSTRIA E COMERCIO LTDA	R$0,00	R$ -
JRB COMERCIO, LOCACOES E SERVICOS DE IMPRESSAO LTDA	R$0,00	R$ -
RC RAMOS COMERCIO LTDA	R$11.345,00	R$ 11.345,00
GRAFICA BORGES DE CAMPO GRANDE LTDA	R$0,00	R$ 2.280,00
GRAFICA BORGES DE CAMPO GRANDE LTDA	R$0,00	R$ 4.500,00
RUBENS DANTAS NETO	R$9.600,00	R$ 40.000,00
RUBENS DANTAS NETO	R$9.600,00	R$ 77.500,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 17.370,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 16.360,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 10.292,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 3.659,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 5.920,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ -
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 8.870,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 6.507,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 21.740,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 3.526,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 11.000,00
META EMPREEDIMENTOS E SERVIÇOS LTDA	R$3.611,20	R$ 7.650,00
IMPRESSOART EDITORA GRAFICA LTDA	R$0,00	R$ -
MULTFLUXO COMERCIO DE MATERIAIS ISOLAMENTOS LTDA	R$6.410,00	R$ 6.410,00
ERIKA BARBERINO MARTINS BORGES	R$0,00	R$ -
RB FLEXO LTDA	R$0,00	R$ -
EDIR SUSSEL & CIA LTDA	R$0,00	R$ -
PRATICA EDITORA GRAFICA LTDA	R$0,00	R$ -
ISALTEC COMERCIO DE INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 2.299,98
ISALTEC COMERCIO DE INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 419,49
ISALTEC COMERCIO E INSTRUMENTOS DE MEDICAO LTDA	R$3.437,47	R$ 718,00
MAXXI LAGO COMERCIAL E SERVICOS LTDA	R$0,00	R$ -
CLAVES E NOTAS COMERCIO DE INSTRUMENTOS MUSICAIS LTDA	R$880,00	R$ 880,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 1.980,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 229,00
R JUAREZ DE ALMEIDA	R$4.169,00	R$ 1.960,00
TRC COMERCIO E SERVICOS LTDA	R$22.190,00	R$ 22.190,00
G2B COMERCIO E REPRESENTACOES LTDA	R$0,00	R$ -
HS-CPQ TECNOLOGIA LTDA	R$677,00	R$ 677,00
EDELSON MILTON DE SOUZA	R$0,00	R$ -
ELETROQUIP COMÉRCIO E LICITAÇÕES LTDA	R$0,00	R$ -
EMGESA - EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES	R$0,00	R$ -
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA	R$0,00	R$ -
INFRAEASY SOLUÇÕES LTDA	R$0,00	R$ -
RAUL MUELLER SCHRAMM	R$0,00	R$ -
VALNEIDES ARAUJO DA COSTA	R$0,00	R$ -
ALEXANDRE LAURENTINO DA SILVA LTDA.	R$13.160,00	R$ 11.280,00
ALEXANDRE LAURENTINO DA SILVA LTDA.	R$13.160,00	R$ 1.880,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 57.600,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 12.900,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 11.900,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 5.950,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 34.500,00
PADARIA PONTES LTDA.	R$107.061,70	R$ 4.878,30
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 1.543,83
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.200,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 5.200,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 7.000,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 5.300,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.400,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 9.600,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 4.800,00
WELCOME SERVIÇOS E EVENTOS LTDA.	R$43.587,66	R$ 8.200,00
MEL DISTRIBUIDORA LTDA.	R$76.284,00	R$ 96.626,40
FORLIMP COMÉRCIO E DISTRIBUIÇÃO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$0,00	R$ -
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$ 24.428,00
ANDRÉ AUGUSTO TRUTA FELIPE	R$9.357,50	R$ 16.480,00
SOS GÁS LTDA.	R$0,00	R$ -
J & L – PROMOÇÃO DE VENDAS EM INFORMÁTICA LTDA.	R$5.040,00	R$ 5.040,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$ 63.000,00
PLANEJE TECNOLOGIA E SERVIÇOS LTDA.	R$0,00	R$ 67.500,00
VENDGO LTDA.	R$0,00	R$ -
J A F DORNELLES FILHO COMÉRCIO DE INFORMÁTICA	R$0,00	R$ 34.600,00
LUGATH COMÉRCIO LTDA.	R$0,00	R$ -
R. JUAREZ DE ALMEIDA	R$1.500,00	R$ 1.500,00
M. A. DISTRIBUIDORA COMÉRCIO E SERVIÇO LTDA.	R$71.383,00	R$ 71.383,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ -
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 13.920,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 3.950,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	R$19.646,00	R$ 1.776,00
LRF DISTRIBUIDORA LTDA.	R$0,00	R$ -
FLEXIBASE INDUSTRIA E COMERCIO DE MOVEIS, IMPORTACAO E EXPORTACAO LTDA	R$0,00	R$ -
ADVANCED COMERCIO DE EQUIPAMENTOS LTDA	R$0,00	R$ -
X-OFFICE SERVI LTDA-ME	R$0,00	R$ -
PRENSAR MOVEIS LTDA EPP	R$16.500,00	R$ 16.500,00
A.N.D CAPELLI LTDA	R$0,00	R$ -
A.N.D CAPELLI LTDA	R$0,00	R$ 26.880,00
A.N.D CAPELLI LTDA	R$0,00	R$ 17.850,00
A.N.D CAPELLI LTDA	R$0,00	R$ 7.488,00
MA COMERCIO DE REFRIGERACAO LTDA	R$0,00	R$ -
Vale Comercio de Materiais Ltda	R$0,00	R$ -
SORELLE COMERCIO DE ELETROS E EQUIPAMENTOS LTDA	R$0,00	R$ -
XD CONSTRUCOES LTDA	R$0,00	R$ -
DISTRIBUIDORA PHG LTDA.	R$0,00	R$ -
SUL AGUA EQUIPAMENTOS LTDA	R$0,00	R$ -
REPREMIG – REPRESENTAÇÃO E COMÉRCIO DE MINAS GERAIS LTDA	R$0,00	R$ -
BT COMÉRCIO INTELIGENTE LTDA	R$0,00	R$ -
CITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA	R$0,00	R$ -
Shine Soluções	R$0,00	R$ -
ELITE TECH SUPRIMENTOS LTDA	R$0,00	R$ -
JP Comércio e Serviços	R$0,00	R$ -
ALL IN-SOLUCOES TECNOLOGICAS	R$0,00	R$ -
PLUGNET COMÉRCIO E REPRESENTAÇÕES LTDA.	R$0,00	R$ -
ARKHAGGELOS COMERCIO LTDA	R$0,00	R$ -
Produtos Salinas LTDA	R$0,00	R$ -
