Nome da Empresa	Valor total adquirido	Valor Empenhado
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$5.562,00
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$1.339,00
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$2.537,59
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$1.985,94
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$9.598,71
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$20.742,04
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$6.068,15
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$257,04
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$6.297,48
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$4.750,00
GALLUS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	R$246.699,35	R$3.753,09
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$1.785,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$5.355,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$1.833,30
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$2.830,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$1.415,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$5.868,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$14.670,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$ -
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$15.125,00
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$5.451,84
MARIANA MOREIRA ANDRASCHKO LTDA.	R$52.557,60	R$34.606,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$35.400,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$15.458,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$23.600,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$13.098,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$11.700,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$8.658,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	R$286.439,00	R$7.020,00
